행정구,행정동,구역명,zoneNaturalKey,표본건수,예상초투_min(억),예상초투_max(억),예상초투_범위,P_min(억),P_max(억),P_범위,매매가_min(억),매매가_max(억),매매가_범위,기존_최소실투자금(억),기존_최대실투자금(억),기존_최소프리미엄,기존_최대프리미엄,기존_매매가,실투대비_이상,polygon안_건수,articleNos,승인,검수상태,검수메모,승인일,generatedAt,sourceMode,note
강북구,미아동,미아 2구역,강북구|미아동|미아 2구역,5,6.2,10.5,6.2~10.5억,,,,7.5,12.5,7.5~12.5억,,,,,,,5,2644786013|2644862629|2644857312|2644134894|2640939631,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
강북구,미아동,미아 3구역,강북구|미아동|미아 3구역,1,12,12,12억,,,,12,12,12억,,,,,,,1,2643342549,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
강북구,미아동,미아 4구역,강북구|미아동|미아 4구역,4,11.2,16,11.2~16억,4.5,4.5,4.5억,11.2,16,11.2~16억,,,,,,,2,2642375501|2642591057|2639858621|2639871775,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
강북구,미아동,미아 9-2구역(재건축),강북구|미아동|미아 9-2구역(재건축),5,5.4,10,5.4~10억,,,,6,10,6~10억,,,,,,,4,2643940061|2640381926|2644314419|2641932608|2641375780,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
금천구,독산동,독산 1구역,금천구|독산동|독산 1구역,5,6.9,11.8,6.9~11.8억,,,,6.9,12,6.9~12억,,,,,,,4,2641432722|2644187036|2640741657|2639578674|2645043725,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
금천구,독산동,독산 2구역,금천구|독산동|독산 2구역,5,4.8,8.8,4.8~8.8억,,,,4.8,10.7,4.8~10.7억,,,,,,,4,2640917419|2640446982|2644862208|2644187337|2639676738,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
금천구,독산동,독산시흥구역,금천구|독산동|독산시흥구역,4,3.35,9.3,3.35~9.3억,,,,6.58,9.3,6.58~9.3억,,,,,,,4,2644434977|2642157670|2640921017|2641050741,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동대문구,이문동,이문 4구역,동대문구|이문동|이문 4구역,5,13,14.5,13~14.5억,,,,13,14.5,13~14.5억,,,,,,,0,2640883062|2641141225|2642278484|2645074717|2641131873,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동대문구,제기동,제기 6구역,동대문구|제기동|제기 6구역,1,9.8,9.8,9.8억,,,,9.8,9.8,9.8억,,,,,,,1,2644430171,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동대문구,청량리동,청량리 8구역,동대문구|청량리동|청량리 8구역,5,12,12,12억,8,8,8억,12,12,12억,,,,,,,5,2642848044|2640610906|2644834401|2642522880|2642939100,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,노량진동,노량진 1구역,동작구|노량진동|노량진 1구역,5,15.8,27,15.8~27억,,,,15.8,27,15.8~27억,,,,,,,3,2645283922|2643868646|2641553286|2643904438|2643876105,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,노량진동,노량진 3구역,동작구|노량진동|노량진 3구역,3,20,33,20~33억,,,,20,33,20~33억,,,,,,,0,2642393047|2645081918|2643831785,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,대방동,노량진 7구역,동작구|대방동|노량진 7구역,5,21,31,21~31억,18.1,18.1,18.1억,21,31,21~31억,,,,,,,2,2644360688|2643192458|2644587989|2644585595|2641999574,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
마포구,공덕동,공덕 7구역,마포구|공덕동|공덕 7구역,5,9.48,11.5,9.48~11.5억,6.5,7.4,6.5~7.4억,11,13,11~13억,,,,,,,5,2645110876|2644391445|2645097089|2645017325|2644393931,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
마포구,공덕동,공덕 8구역,마포구|공덕동|공덕 8구역,5,7.62,8.2,7.62~8.2억,,,,8.5,8.5,8.5억,,,,,,,3,2641252209|2644871661|2642107822|2641913120|2639528819,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
서초구,방배동,방배 13구역,서초구|방배동|방배 13구역,5,11.7,23,11.7~23억,,,,11.7,23,11.7~23억,,,,,,,4,2641329067|2641335404|2643096277|2641003310|2644484901,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
서초구,방배동,방배 15구역(재건축),서초구|방배동|방배 15구역(재건축),5,25,34,25~34억,,,,25,36,25~36억,,,,,,,4,2642135453|2639843766|2642962016|2643403907|2641086026,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성북구,길음동,길음 5구역,성북구|길음동|길음 5구역,5,5.2,6,5.2~6억,,,,6,7.3,6~7.3억,,,,,,,5,2643400173|2645111011|2639764967|2644646248|2641002639,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
성북구,길음동,신길음구역,성북구|길음동|신길음구역,1,8.5,8.5,8.5억,,,,8.5,8.5,8.5억,,,,,,,0,2644905662,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
영등포구,신길동,신길 2구역,영등포구|신길동|신길 2구역,5,8.5,13.87,8.5~13.87억,3,3,3억,8.5,14,8.5~14억,,,,,,,5,2643880605|2640051878|2640847356|2640865857|2644630141,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
은평구,갈현동,갈현 1구역,은평구|갈현동|갈현 1구역,5,6.8,7.06,6.8~7.06억,,,,6.8,7.06,6.8~7.06억,,,,,,,4,2643075489|2643841817|2643066116|2640044387|2644335938,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
은평구,대조동,대조 1구역,은평구|대조동|대조 1구역,2,15.85,16.5,15.85~16.5억,,,,15.85,16.5,15.85~16.5억,,,,,,,2,2642932695|2641268096,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
은평구,불광동,불광 5구역,은평구|불광동|불광 5구역,5,9.17,10.52,9.17~10.52억,,,,9.17,10.52,9.17~10.52억,,,,,,,2,2645048561|2642919025|2640223519|2640224601|2644186754,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
광진구,자양동,자양 7구역,광진구|자양동|자양 7구역,5,16.1,17.9,16.1~17.9억,,,,17,20,17~20억,16.9,17,5,,17~18,OK,5,2645238316|2641150659|2645106588|2643461406|2643186820,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
광진구,자양동,자양2동 649(B)(모아타운),광진구|자양동|자양2동 649(B)(모아타운),5,6.9,7.8,6.9~7.8억,,,,9,9,9억,5.8,7,,,,HIGH,5,2644445543|2640507064|2644803337|2645275456|2639495844,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
광진구,자양동,자양4동 A구역,광진구|자양동|자양4동 A구역,5,15.8,18,15.8~18억,,,,17.5,18,17.5~18억,11.5,13.5,,,,HIGH,5,2641143087|2642716546|2644138461|2640747263|2640752436,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
광진구,자양동,자양동 227-147,광진구|자양동|자양동 227-147,5,9,10.25,9~10.25억,,,,10.5,12.5,10.5~12.5억,6.4,7.1,,,,HIGH,5,2639727936|2641155431|2642315713|2642908306|2644119635,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동대문구,전농동,전농 8구역,동대문구|전농동|전농 8구역,5,9.5,12.55,9.5~12.55억,,,,11.5,12.55,11.5~12.55억,9.2,9.2,,,,HIGH,3,2640848769|2641621814|2644454156|2642772918|2640524699,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,사당동,사당 12구역,동작구|사당동|사당 12구역,5,1.55,4.1,1.55~4.1억,,,,2.5,4.1,2.5~4.1억,6.8,,,,6.8~8,LOW,5,2642476942|2643314372|2642457489|2645253644|2644883041,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
동작구,사당동,사당 17구역,동작구|사당동|사당 17구역,5,10,13.5,10~13.5억,,,,10,13.5,10~13.5억,12,,,,12~14.2,OK,5,2644847549|2642287157|2644641525|2641095354|2643833750,,pending,,,2026-08-22,260822b(polygon_repair + membership_filters v2),"매매가_범위는 참고만 — Golden 매매가(G) 자동 반영 금지. 예상초투→실투자금, P→프리미엄 후보."
