행정구,행정동,구역명,현재 단계,매매가,최소 실투자금(억),최대 실투자금(억),특징/호재,비교 기축 아파트,기축 아파트 시세(억)
용산구,청파동,청파 1구역,시공사선정,14~16,11.7,12.5,23년 2월 17일 조합설립인가,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,후암동,후암1구역(재건축),추진위 승인,16,13.3,,2007년 4월 23일 추진위 승인,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,청파동,서계통합,추진위 승인,7.9~8,6.7,,"2025년 11월 28일 추진위 승인
조합설립 임박?",이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,청파동,청파 2구역,정비구역지정,6.5~8,5.5,7.9,2024년 10월 31일 정비구역지정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,이촌동,이촌1구역(재건축),정비구역지정,13.5~14,11.5,13,2026년 5월 14일 정비구역지정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,후암동,동후암 1구역,신속통합기획 대상지 선정,,4.6,6.3,24년 6월 27일 대상지 선정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,후암동,동후암 3구역,신속통합기획 대상지 선정,,6,7.2,24년 8월 28일 대상지 선정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,이태원동,한남 1구역,신속통합기획 대상지 선정,30~33,28,30,25년 2월 27일 대상지 선정,,
용산구,청파동,청파 3구역,신속통합기획 대상지 선정,,3,4.8,25년 4월 28일 대상지 선정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,원효로3가,원효로3가 2-2,신속통합기획 대상지 선정,,6.5,6.5,"25년 6월 30일 대상지 선정
신통 신창동 29-1",이촌한가람,30.2
용산구,용산동,용산 1구역,신속통합기획 대상지 선정,,9.8,10,"25년 8월 28일 대상지 선정, 용산동2가 1-1351",이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,후암동,남산 1구역,신속통합기획 대상지 선정,,6.2,7,25년 11월 3일 대상지 선정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,용산동,용산 3구역,신속통합기획 대상지 선정,,6.6,7.6,"26년 5월 7일 대상지 선정
용산동2가 35-26",이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,이태원동,이태원 1구역,신속통합기획 대상지 선정,,10,10,25년 11월 3일 대상지 선정,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,용산동,남산 3구역,연번 부여,,4,4.3,,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,용산동,용산 4구역,연번 부여,6~6.2,3.8,4,,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,후암동,남산 2구역,연변 부여,5.5~7,4.5,5.6,,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,후암동,동후암 2구역,연번 부여,5.7~5.9,4,,노후도 59%로 다소 낮음,이촌한가람 30.2억 / 마포자이힐스테이트라첼스 30.6억(분양권),30.2
용산구,원효로3가,원효로3가 1구역,연번 부여,8.2,6.9,,"노후도 83%, 26.05.07 대상지 탈락(반대?)
원룸매물 8.2",이촌한가람,30.2
성동구,금호동2가,금호 16구역,관리처분인가,,14.5,16,,옥수파크힐스,27.5
성동구,금호동3가,금호 21구역,시공사 선정,,13,14,24년 10월 18일 조합설립인가,옥수파크힐스,27.5
성동구,행당동,행당 8구역,신속통합기획 대상지 선정,8,,,25년 12월 17일 신통대상지 선정,라체르보푸르지오써밋,27
성동구,용답동,용답 2구역,신속통합기획 대상지 선정,5.6~5.9,4.1,5.5,26년 5월 7일 신통대상지 선정,성동리버뷰자이  (분양권),20.3
성동구,사근동,사근동 190-2,연번 부여,,2.2,3.7,26년 1월 23일 연번 부여,라체르보푸르지오써밋,27
성동구,금호동,금호 22구역,연번 부여,,2.5,3.5,26년 4월 20일 연번 부여,옥수파크힐스,27.5
성동구,용답동,용답 1구역,연번 부여,,3.2,3.8,26년 5월 7일 신통 탈락,성동리버뷰자이  (분양권),20.3
성동구,금호동4가,금호 23구역,연번 부여,7,6.9,,"26년 3월 5일 연번 부여
노후도 92%",옥수파크힐스,27.5
광진구,자양동,자양 7구역,시공사 선정,17~18,16.9,17,21년 10월 13일 조합설립인가,롯데캐슬이스트폴,26.8
광진구,자양동,자양4동 A구역,정비구역 지정,,11.5,13.5,26년 조합설립인가 임박,롯데캐슬이스트폴,26.8
광진구,자양동,자양2동 681(모아타운),(모아)통합심의통과,,3.9,7.4,26년 3월 12일 통합심의통과,롯데캐슬이스트폴,26.8
광진구,자양동,자양1동 779(모아타운),(모아)통합심의통과,,4.3,4.8,26년 3월 26일 통합심의통과,롯데캐슬이스트폴,26.8
광진구,자양동,자양2동 649(B)(모아타운),(모아)통합심의통과,,5.8,7,25년 11월 10일 통합심의통과,롯데캐슬이스트폴,26.8
광진구,자양동,자양동 772-1(건대모아),(모아)관리계획수립,6.7~7.5,4.7,5.1,26년 3월 30일 관리계획 수립,롯데캐슬이스트폴,26.8
광진구,자양동,자양동 227-147,정비구역 지정,,6.4,7.1,"25년 10월 15일 신통기획 완료
26년 5월 6일 정비구역 지정",롯데캐슬이스트폴,26.8
광진구,중곡동,중곡 1구역(A5),신속통합기획 완료,8.4,5.99,,"25년 2월 27일 대상지 선정
26년 3월 25일 신통기획 완료",래미안구의파크스위트,20
광진구,구의동,구의동 46,신속통합기획 대상지 선정,,3.3,4.3,26년 2월 25일 대상지 선정,래미안구의파크스위트,20
광진구,자양동,자양2동 663(C)(모아타운),(모아)대상지 선정,,5.2,6.8,,롯데캐슬이스트폴,26.8
광진구,자양동,자양1동 593(A)(모아타운),(모아)대상지 선정,,6.3,7.5,,롯데캐슬이스트폴,26.8
광진구,중곡동,중곡동 232-1(A4),신속통합기획 대상지 선정,5.25~5.4,2,2.5,"25년 12월 4일 연번 부여
26년 5월 7일 신통대상지 선정
노후도 74%
",래미안구의파크스위트,20
광진구,구의동,구의1동 221-1,연번 부여,5.4~6.5,4,5,26년 5월 6일 연번 부여,래미안구의파크스위트,20
광진구,구의동,구의동 32,연번 부여,6~7.3,6,,"26년 3월 16일 연번부여
노후도 72%",래미안구의파크스위트,20
광진구,자양동,자양동 629(모아타운),추진준비,,3.4,4.15,,롯데캐슬이스트폴,26.8
동작구,사당동,사당 5구역(재건축),사업시행인가,10~11,7,8,"24년 2월 14일 사업시행인가
26년 3월 5일 통합심의통과",래미안로이파크,22.5
동작구,상도동,상도 15구역,사업시행자 지정,,6,7,25년 6월 5일 사업시행자 지정,e편한세상상도노빌리티,22.6
동작구,상도동,상도 14구역,사업시행자 지정,,4.7,4.8,25년 10월 2일 사업시행자 지정,e편한세상상도노빌리티,22.6
동작구,사당동,사당 17구역,추진위 승인,12~14.2,12,,26년 1월 7일 추진위 승인,래미안로이파크,22.5
동작구,사당동,사당 12구역,추진위 승인,6.8~8,6.8,,26년 1월 29일 추진위 승인,래미안로이파크,22.5
동작구,상도동,상도 16구역,추진위 승인,,2.3,4,26년 4월 29일 추진위 승인,e편한세상상도노빌리티,22.6
동작구,상도동,상도 21구역(모아타운),(모아)관리계획고시,,4.5,5,25년 6월 19일 관리계획고시,e편한세상상도노빌리티,22.6
동작구,사당동,사당 16구역,신속통합기획 대상지 선정,7.3,5.4,,25년 2월 27일 대상지 선정,래미안로이파크,22.5
동작구,상도동,상도 23구역,신속통합기획 대상지 선정,7.2~7.9,4.85,5,25년 6월 3일 대상지 선정,e편한세상상도노빌리티,22.6
동작구,흑석동,흑석 10구역,신속통합기획 대상지 선정,9.5~13.5,7,,25년 6월 30일 대상지 선정,,
동작구,사당동,사당 15구역,신속통합기획 대상지 선정,,5.5,6.4,25년 8월 28일 대상지 선정,래미안로이파크,22.5
동작구,사당동,사당 21구역,신속통합기획 대상지 선정,,3.7,6.5,"25년 12월 11일 연번 부여
26년 5월 7일 대상지 선정",래미안로이파크,22.5
동작구,사당동,사당 19구역,신속통합기획 대상지 선정,,,,26년 5월 7일 신통 대상지 선정,래미안로이파크,22.5
동작구,사당동,사당 18구역,연번 부여,4~4.8,2.8,3.1,25년 6월 13일 연번 부여,래미안로이파크,22.5
동작구,상도동,상도 25구역,연번 부여,,3.2,4.15,"25년 12월 24일 연번 부여
26년 5월 7일 신통 대상지 미선정",e편한세상상도노빌리티,22.6
동작구,노량진동,노량진 14구역,신속통합기획 대상지 선정,10.7,8.2,,26년 5월 7일 신통 대상지 선정,,
동작구,상도동,상도 24구역,연번 부여,,,,26년 3월 24일 연번 부여,e편한세상상도노빌리티,22.6
마포구,염리동,염리 4구역,추진위설립,9.9~11,8.7,9.9,26년 1월 16일 추진위 승인,마포프레스티지자이,29.6
마포구,염리동,염리 5구역,정비구역지정,,9.5,10,26년 4월 30일 정비구역지정(공람),마포프레스티지자이,29.6
마포구,신수동,신수 13구역,신속통합기획 대상지 선정,,6,6.2,25년 12월 17일 대상지 선정,신촌숲아이파크,25.2
마포구,대흥동,대흥 5구역,연번 부여,,4.9,5.2,25년 6월 30일 연번 부여,마포프레스티지자이,29.6
영등포구,신길동,신길 16-2구역,신속통합기획 확정,,3.7,4.7,25년 7월 신속통합기획,힐스테이트클래시안,20.5
영등포구,신길동,여의대방신길 2구역,신속통합기획 대상지 선정,,3.4,3.8,"25년 12월 17일 대상지 선정, 신길동 90-31",힐스테이트클래시안,20.5
동대문구,전농동,전농 8구역,조합설립인가,,9.2,9.2,21년 12월 8일 조합설립인가,래미안크레시티,18
동대문구,전농동,전농 15구역,신속통합기획 대상지 선정,,1.8,2,23년 11월 22일 대상지 선정,래미안크레시티,18
동대문구,전농동,전농 10구역,연번 부여,,2.3,3.6,26년 2월 6일 연번 부여,래미안크레시티,18
동대문구,용두동,용두 7구역,연번 부여,,3.15,3.8,용두동 39,래미안크레시티,18
성북구,장위동,장위 14구역,시공사 선정,,3.8,5,10년 5월 26일 조합설립인가,서울원아이파크  (분양권),17.73
성북구,장위동,장위 15구역,시공사 선정,,4.5,6,22년 3월 28일 조합설립인가,서울원아이파크  (분양권),17.73
성북구,장위동,장위 13-1구역,신속통합기획 완료,,1.6,2,"장위뉴타운, 초기단계",서울원아이파크  (분양권),17.73
성북구,장위동,장위 13-2구역,신속통합기획 완료,,1.8,2,"장위뉴타운, 초기단계",서울원아이파크  (분양권),17.73
구리시,수택동,수택 2구역,조합설립인가,,2.6,3,24년 6년 19일 조합설립인가,e편한세상인창어반포레,13.5
